"Engineering Stress MPa" , "Engineering Strain"
-0.0036,24
0.1875,33
3.599,41
6.0416,56
7.9899,80
10.188,104
12.353,128
14.4524,150
16.673,176
18.8219,200
21.0418,224
23.2143,249
25.3594,275
27.429,300
29.6532,326
31.9693,351
34.2469,377
36.424,403
38.6414,429
40.8414,457
43.1199,484
45.3816,510
47.6565,531
49.9414,548
52.266,572
54.6681,596
56.9078,618
59.0397,641
61.2649,665
63.7105,685
66.1045,705
68.4191,724
70.5947,746
73.0907,769
75.4709,791
77.6493,812
79.8667,834
82.1578,855
84.521,877
86.8382,897
89.1398,919
91.4104,938
93.6679,960
95.8227,982
98.2425,1004
100.5928,1023
102.8908,1042
105.0955,1064
107.4967,1085
109.836,1105
111.9892,1126
114.0513,1147
116.4313,1168
118.9012,1188
121.0673,1206
123.2294,1226
125.4319,1247
127.8278,1268
129.9347,1288
131.8988,1307
133.8743,1328
136.0362,1346
138.0426,1365
139.2854,1385
140.8543,1404
142.6918,1424
144.5256,1444
146.5198,1465
148.7162,1483
150.7177,1500
152.5337,1519
154.5503,1541
156.5888,1561
158.437,1578
160.145,1597
162.092,1618
164.26,1637
166.1584,1653
167.8872,1671
169.7452,1691
171.6918,1713
173.5266,1729
175.2402,1749
177.1272,1768
179.1091,1785
180.9328,1803
182.7337,1823
184.6142,1842
186.3486,1862
187.9973,1879
189.8293,1899
191.8164,1919
193.5534,1935
195.1929,1952
196.8457,1974
198.7189,1993
200.3707,2011
201.8611,2027
203.5871,2048
205.3959,2067
207.1275,2084
208.6194,2103
210.1404,2124
211.6584,2142
213.2673,2161
214.6835,2180
216.2587,2199
217.759,2216
219.1922,2234
220.5182,2255
222.0887,2274
223.3285,2291
224.5345,2309
225.8631,2329
227.2806,2348
228.6107,2365
229.7681,2381
230.8302,2402
231.9655,2422
233.2138,2440
234.2122,2457
235.1882,2475
236.2873,2494
237.3806,2512
238.3272,2527
239.1337,2548
239.9109,2567
240.8972,2584
241.7531,2603
242.5769,2621
243.2927,2640
244.012,2656
244.7786,2675
245.351,2696
246.0461,2714
246.6561,2730
247.2345,2750
247.8466,2769
248.5386,2787
249.0463,2802
249.4505,2821
249.8261,2843
250.4686,2862
251.0327,2878
251.3918,2896
251.7048,2915
252.2444,2934
252.7448,2952
252.9556,2972
253.2325,2991
253.6828,3012
254.1355,3030
254.4514,3050
254.749,3068
255.0448,3086
255.3844,3105
255.5507,3127
255.8758,3148
256.2131,3168
256.4667,3188
256.6613,3210
256.9721,3231
257.3536,3251
257.4144,3271
257.4328,3296
257.8098,3319
258.1422,3341
258.3167,3361
258.4219,3385
258.6094,3410
258.9849,3433
259.0325,3457
259.0554,3481
259.3192,3508
259.631,3534
259.7695,3559
259.8777,3586
260.0279,3612
260.1581,3638
260.2798,3667
260.3832,3699
260.6482,3727
260.7549,3755
260.8057,3785
261.0327,3817
261.2464,3848
261.2645,3878
261.2274,3912
261.3937,3948
261.6983,3984
261.8597,4016
261.8277,4051
261.8976,4088
262.1088,4125
262.1978,4163
262.2047,4202
262.2852,4242
262.4763,4282
262.6628,4322
262.666,4362
262.8556,4403
262.8774,4444
262.839,4488
262.9797,4535
263.1894,4579
263.3275,4621
263.3115,4666
263.3392,4712
263.5266,4759
263.65,4804
263.5567,4852
263.5915,4903
263.8222,4952
264.069,4997
264.0028,5045
263.9892,5095
264.1102,5144
264.2426,5194
264.2378,5245
264.3039,5297
264.4174,5347
264.5985,5397
264.6144,5448
264.6579,5500
264.7326,5550
264.7491,5602
264.754,5658
264.9362,5712
265.0935,5763
265.0948,5813
265.1125,5867
265.1846,5921
265.3456,5973
265.3347,6026
265.2759,6083
265.4047,6138
265.6916,6192
265.7182,6243
265.6851,6297
265.5417,6353
265.8101,6407
265.8813,6462
265.8427,6519
265.9599,6573
266.111,6626
266.1948,6681
266.1897,6737
266.2198,6789
266.2595,6843
266.3031,6901
266.3313,6957
266.5863,7012
266.6517,7064
266.5746,7118
266.5485,7174
266.7165,7230
266.8454,7283
266.77,7339
266.7379,7395
267.0369,7451
267.1885,7503
267.0674,7557
267.013,7613
267.1154,7668
267.2882,7723
267.2768,7778
267.3192,7834
267.4626,7886
267.5535,7940
267.5326,7995
267.5282,8050
267.5891,8104
267.6761,8160
267.6933,8217
267.8586,8272
268.0215,8324
267.962,8377
267.8391,8432
267.9988,8488
268.1458,8544
268.089,8597
268.1008,8653
268.2126,8707
268.4967,8761
268.4582,8812
268.3189,8869
268.3949,8925
268.5818,8981
268.586,9035
268.6504,9091
268.728,9145
268.7917,9195
268.7987,9251
268.7708,9306
268.9272,9361
268.9289,9414
268.9258,9472
269.0978,9526
269.3002,9579
269.2683,9630
269.1314,9687
269.1624,9744
269.3922,9800
269.4282,9855
269.3671,9909
269.5028,9964
269.6359,10019
269.7212,10072
269.5945,10126
269.6195,10184
269.794,10238
269.8328,10294
269.8891,10349
270.0103,10405
270.0378,10458
270.0194,10513
270.0621,10571
270.1413,10627
270.2111,10682
270.2093,10738
270.2721,10795
270.4568,10850
270.5047,10902
270.3698,10957
270.306,11017
270.6408,11074
270.7346,11128
270.6565,11184
270.6866,11241
270.8188,11296
270.9475,11351
270.8844,11406
270.8856,11467
270.9119,11524
271.0554,11579
271.174,11636
271.1579,11693
271.2404,11745
271.2505,11801
271.2458,11861
271.3573,11920
271.4824,11976
271.4826,12031
271.5008,12090
271.6203,12147
271.7886,12200
271.6483,12258
271.5682,12318
271.7268,12376
271.9108,12434
271.9747,12490
271.9058,12546
271.9573,12603
272.1532,12659
272.1404,12716
272.0499,12776
272.1261,12835
272.3065,12894
272.4285,12950
272.4169,13007
272.4784,13064
272.4711,13121
272.4426,13183
272.5053,13242
272.6291,13301
272.6999,13358
272.7161,13416
272.7908,13474
272.93,13532
272.9477,13588
272.8393,13648
272.8805,13709
273.128,13769
273.2673,13826
273.1747,13882
273.1371,13942
273.2544,14000
273.36,14060
273.2914,14119
273.3013,14180
273.4636,14238
273.6093,14297
273.6001,14354
273.6779,14411
273.7063,14471
273.6781,14531
273.6979,14593
273.7919,14652
274.0297,14711
273.9868,14769
273.9047,14830
274.0775,14890
274.1599,14948
274.0582,15008
274.034,15069
274.2385,15129
274.4423,15189
274.4007,15245
274.3035,15304
274.4643,15364
274.5439,15426
274.5315,15486
274.5189,15545
274.6919,15607
274.7743,15664
274.8055,15723
274.8232,15782
274.8529,15843
274.8958,15902
274.8423,15964
274.9951,16026
275.1916,16085
275.1808,16142
275.1218,16203
275.1859,16264
275.3596,16325
275.3372,16384
275.2189,16446
275.3515,16508
275.594,16569
275.6363,16625
275.5561,16684
275.5429,16744
275.6558,16807
275.7827,16866
275.6906,16929
275.8413,16990
275.9637,17047
275.9761,17107
276.0207,17167
276.0249,17229
276.0752,17288
276.0522,17348
276.1108,17202
276.3554,17238
276.4179,17280
276.3306,17327
276.3179,17380
276.4095,17433
276.5714,17484
276.464,17538
276.5461,17597
276.652,17652
276.8428,17707
276.7747,17759
276.756,17818
276.7719,17875
276.8974,17932
276.926,17989
